Country,Year,Condition,Sex,Age Group,Deaths
England and Wales,2014,Alcohol related diseases,Male,45-49,541
England and Wales,2014,Alcohol related diseases,Male,50-54,624
England and Wales,2014,Alcohol related diseases,Male,55-59,618
England and Wales,2014,Alcohol related diseases,Male,60-64,667
England and Wales,2014,Alcohol related diseases,Male,65-69,606
England and Wales,2014,Alcohol related diseases,Male,70-74,354
England and Wales,2014,Aortic aneurysm and dissection,Male,<1   ,0
England and Wales,2014,Aortic aneurysm and dissection,Male,01-04,0
England and Wales,2014,Aortic aneurysm and dissection,Male,05-09,0
England and Wales,2014,Aortic aneurysm and dissection,Male,10-14,0
England and Wales,2014,Aortic aneurysm and dissection,Male,15-19,2
England and Wales,2014,Aortic aneurysm and dissection,Male,20-24,2
England and Wales,2014,Aortic aneurysm and dissection,Male,25-29,3
England and Wales,2014,Aortic aneurysm and dissection,Male,30-34,6
England and Wales,2014,Aortic aneurysm and dissection,Male,35-39,10
England and Wales,2014,Aortic aneurysm and dissection,Male,40-44,20
England and Wales,2014,Aortic aneurysm and dissection,Male,45-49,36
England and Wales,2014,Aortic aneurysm and dissection,Male,50-54,44
England and Wales,2014,Aortic aneurysm and dissection,Male,55-59,94
England and Wales,2014,Aortic aneurysm and dissection,Male,60-64,134
England and Wales,2014,Aortic aneurysm and dissection,Male,65-69,256
England and Wales,2014,Aortic aneurysm and dissection,Male,70-74,485
England and Wales,2014,Asthma,Male,<1   ,0
England and Wales,2014,Asthma,Male,01-04,1
England and Wales,2014,Asthma,Male,05-09,3
England and Wales,2014,Asthma,Male,10-14,12
England and Wales,2014,Asthma,Male,15-19,5
England and Wales,2014,Asthma,Male,20-24,1
England and Wales,2014,Asthma,Male,25-29,8
England and Wales,2014,Asthma,Male,30-34,3
England and Wales,2014,Asthma,Male,35-39,3
England and Wales,2014,Asthma,Male,40-44,8
England and Wales,2014,Asthma,Male,45-49,11
England and Wales,2014,Asthma,Male,50-54,7
England and Wales,2014,Asthma,Male,55-59,9
England and Wales,2014,Asthma,Male,60-64,13
England and Wales,2014,Asthma,Male,65-69,17
England and Wales,2014,Asthma,Male,70-74,31
England and Wales,2014,Benign neoplasms,Male,<1   ,0
England and Wales,2014,Benign neoplasms,Male,01-04,0
England and Wales,2014,Benign neoplasms,Male,05-09,0
England and Wales,2014,Benign neoplasms,Male,10-14,0
England and Wales,2014,Benign neoplasms,Male,15-19,0
England and Wales,2014,Benign neoplasms,Male,20-24,0
England and Wales,2014,Benign neoplasms,Male,25-29,1
England and Wales,2014,Benign neoplasms,Male,30-34,1
England and Wales,2014,Benign neoplasms,Male,35-39,3
England and Wales,2014,Benign neoplasms,Male,40-44,1
England and Wales,2014,Benign neoplasms,Male,45-49,3
England and Wales,2014,Benign neoplasms,Male,50-54,5
England and Wales,2014,Benign neoplasms,Male,55-59,7
England and Wales,2014,Benign neoplasms,Male,60-64,7
England and Wales,2014,Benign neoplasms,Male,65-69,14
England and Wales,2014,Benign neoplasms,Male,70-74,24
England and Wales,2014,Cerebrovascular diseases,Male,<1   ,6
England and Wales,2014,Cerebrovascular diseases,Male,01-04,3
England and Wales,2014,Cerebrovascular diseases,Male,05-09,1
England and Wales,2014,Cerebrovascular diseases,Male,10-14,1
England and Wales,2014,Cerebrovascular diseases,Male,15-19,7
England and Wales,2014,Cerebrovascular diseases,Male,20-24,10
England and Wales,2014,Cerebrovascular diseases,Male,25-29,12
England and Wales,2014,Cerebrovascular diseases,Male,30-34,32
England and Wales,2014,Cerebrovascular diseases,Male,35-39,56
England and Wales,2014,Cerebrovascular diseases,Male,40-44,126
England and Wales,2014,Cerebrovascular diseases,Male,45-49,159
England and Wales,2014,Cerebrovascular diseases,Male,50-54,267
England and Wales,2014,Cerebrovascular diseases,Male,55-59,373
England and Wales,2014,Cerebrovascular diseases,Male,60-64,478
England and Wales,2014,Cerebrovascular diseases,Male,65-69,845
England and Wales,2014,Cerebrovascular diseases,Male,70-74,"1,243"
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,<1   ,0
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,01-04,1
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,05-09,0
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,10-14,0
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,15-19,1
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,20-24,1
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,25-29,0
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,30-34,0
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,35-39,5
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,40-44,37
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,45-49,61
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,50-54,127
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,55-59,298
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,60-64,685
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,65-69,"1,324"
England and Wales,2014,Chronic Obstructive Pulmonary disorder,Male,70-74,"1,877"
England and Wales,2014,Complications of perinatal period,Male,<1   ,108
England and Wales,2014,Complications of perinatal period,Male,01-04,5
England and Wales,2014,Complications of perinatal period,Male,05-09,4
England and Wales,2014,Complications of perinatal period,Male,10-14,0
England and Wales,2014,Complications of perinatal period,Male,15-19,0
England and Wales,2014,Complications of perinatal period,Male,20-24,0
England and Wales,2014,Complications of perinatal period,Male,25-29,0
England and Wales,2014,Complications of perinatal period,Male,30-34,0
England and Wales,2014,Complications of perinatal period,Male,35-39,0
England and Wales,2014,Complications of perinatal period,Male,40-44,1
England and Wales,2014,Complications of perinatal period,Male,45-49,0
England and Wales,2014,Complications of perinatal period,Male,50-54,1
England and Wales,2014,Complications of perinatal period,Male,55-59,0
England and Wales,2014,Complications of perinatal period,Male,60-64,0
England and Wales,2014,Complications of perinatal period,Male,65-69,0
England and Wales,2014,Complications of perinatal period,Male,70-74,0
England and Wales,2014,Complications of perinatal period,Male,75-79,0
England and Wales,2014,Complications of perinatal period,Male,80-84,0
England and Wales,2014,Complications of perinatal period,Male,85-89,0
England and Wales,2014,Complications of perinatal period,Male,90+  ,0
England and Wales,2014,Congenital malformations of the circulatory system,Male,<1   ,48
England and Wales,2014,Congenital malformations of the circulatory system,Male,01-04,21
England and Wales,2014,Congenital malformations of the circulatory system,Male,05-09,6
England and Wales,2014,Congenital malformations of the circulatory system,Male,10-14,2
England and Wales,2014,Congenital malformations of the circulatory system,Male,15-19,5
England and Wales,2014,Congenital malformations of the circulatory system,Male,20-24,11
England and Wales,2014,Congenital malformations of the circulatory system,Male,25-29,9
England and Wales,2014,Congenital malformations of the circulatory system,Male,30-34,10
England and Wales,2014,Congenital malformations of the circulatory system,Male,35-39,7
England and Wales,2014,Congenital malformations of the circulatory system,Male,40-44,12
England and Wales,2014,Congenital malformations of the circulatory system,Male,45-49,17
England and Wales,2014,Congenital malformations of the circulatory system,Male,50-54,10
England and Wales,2014,Congenital malformations of the circulatory system,Male,55-59,18
England and Wales,2014,Congenital malformations of the circulatory system,Male,60-64,6
England and Wales,2014,Congenital malformations of the circulatory system,Male,65-69,24
England and Wales,2014,Congenital malformations of the circulatory system,Male,70-74,8
England and Wales,2014,Diabetes mellitus,Male,<1   ,0
England and Wales,2014,Diabetes mellitus,Male,01-04,1
England and Wales,2014,Diabetes mellitus,Male,05-09,0
England and Wales,2014,Diabetes mellitus,Male,10-14,2
England and Wales,2014,Diabetes mellitus,Male,15-19,9
England and Wales,2014,Diabetes mellitus,Male,20-24,9
England and Wales,2014,Diabetes mellitus,Male,25-29,16
England and Wales,2014,Diabetes mellitus,Male,30-34,24
England and Wales,2014,Diabetes mellitus,Male,35-39,21
England and Wales,2014,Diabetes mellitus,Male,40-44,47
England and Wales,2014,Diabetes mellitus,Male,45-49,61
England and Wales,2014,Diabetes mellitus,Male,50-54,65
England and Wales,2014,Diabetes mellitus,Male,55-59,105
England and Wales,2014,Diabetes mellitus,Male,60-64,136
England and Wales,2014,Diabetes mellitus,Male,65-69,183
England and Wales,2014,Diabetes mellitus,Male,70-74,270
England and Wales,2014,Diseases of the Thyroid,Male,<1   ,0
England and Wales,2014,Diseases of the Thyroid,Male,01-04,0
England and Wales,2014,Diseases of the Thyroid,Male,05-09,0
England and Wales,2014,Diseases of the Thyroid,Male,10-14,0
England and Wales,2014,Diseases of the Thyroid,Male,15-19,0
England and Wales,2014,Diseases of the Thyroid,Male,20-24,0
England and Wales,2014,Diseases of the Thyroid,Male,25-29,0
England and Wales,2014,Diseases of the Thyroid,Male,30-34,0
England and Wales,2014,Diseases of the Thyroid,Male,35-39,0
England and Wales,2014,Diseases of the Thyroid,Male,40-44,0
England and Wales,2014,Diseases of the Thyroid,Male,45-49,0
England and Wales,2014,Diseases of the Thyroid,Male,50-54,0
England and Wales,2014,Diseases of the Thyroid,Male,55-59,1
England and Wales,2014,Diseases of the Thyroid,Male,60-64,3
England and Wales,2014,Diseases of the Thyroid,Male,65-69,2
England and Wales,2014,Diseases of the Thyroid,Male,70-74,1
England and Wales,2014,DVT with pulmonary Embolism,Male,<1   ,0
England and Wales,2014,DVT with pulmonary Embolism,Male,01-04,0
England and Wales,2014,DVT with pulmonary Embolism,Male,05-09,0
England and Wales,2014,DVT with pulmonary Embolism,Male,10-14,0
England and Wales,2014,DVT with pulmonary Embolism,Male,15-19,2
England and Wales,2014,DVT with pulmonary Embolism,Male,20-24,6
England and Wales,2014,DVT with pulmonary Embolism,Male,25-29,8
England and Wales,2014,DVT with pulmonary Embolism,Male,30-34,19
England and Wales,2014,DVT with pulmonary Embolism,Male,35-39,27
England and Wales,2014,DVT with pulmonary Embolism,Male,40-44,43
England and Wales,2014,DVT with pulmonary Embolism,Male,45-49,77
England and Wales,2014,DVT with pulmonary Embolism,Male,50-54,97
England and Wales,2014,DVT with pulmonary Embolism,Male,55-59,143
England and Wales,2014,DVT with pulmonary Embolism,Male,60-64,161
England and Wales,2014,DVT with pulmonary Embolism,Male,65-69,242
England and Wales,2014,DVT with pulmonary Embolism,Male,70-74,256
England and Wales,2014,Epilepsy and status epilepticus,Male,<1   ,3
England and Wales,2014,Epilepsy and status epilepticus,Male,01-04,6
England and Wales,2014,Epilepsy and status epilepticus,Male,05-09,7
England and Wales,2014,Epilepsy and status epilepticus,Male,10-14,7
England and Wales,2014,Epilepsy and status epilepticus,Male,15-19,15
England and Wales,2014,Epilepsy and status epilepticus,Male,20-24,22
England and Wales,2014,Epilepsy and status epilepticus,Male,25-29,30
England and Wales,2014,Epilepsy and status epilepticus,Male,30-34,38
England and Wales,2014,Epilepsy and status epilepticus,Male,35-39,35
England and Wales,2014,Epilepsy and status epilepticus,Male,40-44,26
England and Wales,2014,Epilepsy and status epilepticus,Male,45-49,51
England and Wales,2014,Epilepsy and status epilepticus,Male,50-54,42
England and Wales,2014,Epilepsy and status epilepticus,Male,55-59,27
England and Wales,2014,Epilepsy and status epilepticus,Male,60-64,23
England and Wales,2014,Epilepsy and status epilepticus,Male,65-69,20
England and Wales,2014,Epilepsy and status epilepticus,Male,70-74,19
England and Wales,2014,Gastric and duodenal ulcer,Male,<1   ,0
England and Wales,2014,Gastric and duodenal ulcer,Male,01-04,1
England and Wales,2014,Gastric and duodenal ulcer,Male,05-09,0
England and Wales,2014,Gastric and duodenal ulcer,Male,10-14,0
England and Wales,2014,Gastric and duodenal ulcer,Male,15-19,2
England and Wales,2014,Gastric and duodenal ulcer,Male,20-24,0
England and Wales,2014,Gastric and duodenal ulcer,Male,25-29,1
England and Wales,2014,Gastric and duodenal ulcer,Male,30-34,7
England and Wales,2014,Gastric and duodenal ulcer,Male,35-39,10
England and Wales,2014,Gastric and duodenal ulcer,Male,40-44,16
England and Wales,2014,Gastric and duodenal ulcer,Male,45-49,29
England and Wales,2014,Gastric and duodenal ulcer,Male,50-54,35
England and Wales,2014,Gastric and duodenal ulcer,Male,55-59,58
England and Wales,2014,Gastric and duodenal ulcer,Male,60-64,66
England and Wales,2014,Gastric and duodenal ulcer,Male,65-69,103
England and Wales,2014,Gastric and duodenal ulcer,Male,70-74,110
England and Wales,2014,Hepatitis C,Male,<1   ,0
England and Wales,2014,Hepatitis C,Male,01-04,0
England and Wales,2014,Hepatitis C,Male,05-09,0
England and Wales,2014,Hepatitis C,Male,10-14,0
England and Wales,2014,Hepatitis C,Male,15-19,0
England and Wales,2014,Hepatitis C,Male,20-24,0
England and Wales,2014,Hepatitis C,Male,25-29,0
England and Wales,2014,Hepatitis C,Male,30-34,0
England and Wales,2014,Hepatitis C,Male,35-39,6
England and Wales,2014,Hepatitis C,Male,40-44,12
England and Wales,2014,Hepatitis C,Male,45-49,19
England and Wales,2014,Hepatitis C,Male,50-54,28
England and Wales,2014,Hepatitis C,Male,55-59,27
England and Wales,2014,Hepatitis C,Male,60-64,20
England and Wales,2014,Hepatitis C,Male,65-69,12
England and Wales,2014,Hepatitis C,Male,70-74,8
England and Wales,2014,HIV/AIDS,Male,<1   ,0
England and Wales,2014,HIV/AIDS,Male,01-04,0
England and Wales,2014,HIV/AIDS,Male,05-09,0
England and Wales,2014,HIV/AIDS,Male,10-14,0
England and Wales,2014,HIV/AIDS,Male,15-19,0
England and Wales,2014,HIV/AIDS,Male,20-24,0
England and Wales,2014,HIV/AIDS,Male,25-29,1
England and Wales,2014,HIV/AIDS,Male,30-34,6
England and Wales,2014,HIV/AIDS,Male,35-39,15
England and Wales,2014,HIV/AIDS,Male,40-44,10
England and Wales,2014,HIV/AIDS,Male,45-49,16
England and Wales,2014,HIV/AIDS,Male,50-54,20
England and Wales,2014,HIV/AIDS,Male,55-59,13
England and Wales,2014,HIV/AIDS,Male,60-64,11
England and Wales,2014,HIV/AIDS,Male,65-69,14
England and Wales,2014,HIV/AIDS,Male,70-74,9
England and Wales,2014,HIV/AIDS,Male,75-79,3
England and Wales,2014,HIV/AIDS,Male,80-84,4
England and Wales,2014,HIV/AIDS,Male,85-89,1
England and Wales,2014,HIV/AIDS,Male,90+  ,1
England and Wales,2014,Hodgkins disease,Male,<1   ,0
England and Wales,2014,Hodgkins disease,Male,01-04,0
England and Wales,2014,Hodgkins disease,Male,05-09,1
England and Wales,2014,Hodgkins disease,Male,10-14,0
England and Wales,2014,Hodgkins disease,Male,15-19,3
England and Wales,2014,Hodgkins disease,Male,20-24,3
England and Wales,2014,Hodgkins disease,Male,25-29,6
England and Wales,2014,Hodgkins disease,Male,30-34,6
England and Wales,2014,Hodgkins disease,Male,35-39,1
England and Wales,2014,Hodgkins disease,Male,40-44,6
England and Wales,2014,Hodgkins disease,Male,45-49,8
England and Wales,2014,Hodgkins disease,Male,50-54,10
England and Wales,2014,Hodgkins disease,Male,55-59,11
England and Wales,2014,Hodgkins disease,Male,60-64,19
England and Wales,2014,Hodgkins disease,Male,65-69,21
England and Wales,2014,Hodgkins disease,Male,70-74,22
England and Wales,2014,Homicide/Assault,Male,<1   ,4
England and Wales,2014,Homicide/Assault,Male,01-04,8
England and Wales,2014,Homicide/Assault,Male,05-09,3
England and Wales,2014,Homicide/Assault,Male,10-14,1
England and Wales,2014,Homicide/Assault,Male,15-19,34
England and Wales,2014,Homicide/Assault,Male,20-24,50
England and Wales,2014,Homicide/Assault,Male,25-29,32
England and Wales,2014,Homicide/Assault,Male,30-34,31
England and Wales,2014,Homicide/Assault,Male,35-39,32
England and Wales,2014,Homicide/Assault,Male,40-44,30
England and Wales,2014,Homicide/Assault,Male,45-49,28
England and Wales,2014,Homicide/Assault,Male,50-54,23
England and Wales,2014,Homicide/Assault,Male,55-59,20
England and Wales,2014,Homicide/Assault,Male,60-64,18
England and Wales,2014,Homicide/Assault,Male,65-69,9
England and Wales,2014,Homicide/Assault,Male,70-74,12
England and Wales,2014,Homicide/Assault,Male,75-79,7
England and Wales,2014,Homicide/Assault,Male,80-84,5
England and Wales,2014,Homicide/Assault,Male,85-89,4
England and Wales,2014,Homicide/Assault,Male,90+  ,4
England and Wales,2014,Hypertensive diseases,Male,<1   ,0
England and Wales,2014,Hypertensive diseases,Male,01-04,0
England and Wales,2014,Hypertensive diseases,Male,05-09,0
England and Wales,2014,Hypertensive diseases,Male,10-14,0
England and Wales,2014,Hypertensive diseases,Male,15-19,1
England and Wales,2014,Hypertensive diseases,Male,20-24,0
England and Wales,2014,Hypertensive diseases,Male,25-29,0
England and Wales,2014,Hypertensive diseases,Male,30-34,2
England and Wales,2014,Hypertensive diseases,Male,35-39,12
England and Wales,2014,Hypertensive diseases,Male,40-44,28
England and Wales,2014,Hypertensive diseases,Male,45-49,60
England and Wales,2014,Hypertensive diseases,Male,50-54,81
England and Wales,2014,Hypertensive diseases,Male,55-59,101
England and Wales,2014,Hypertensive diseases,Male,60-64,141
England and Wales,2014,Hypertensive diseases,Male,65-69,203
England and Wales,2014,Hypertensive diseases,Male,70-74,244
England and Wales,2014,Illicit drug use disorders,Male,<1   ,0
England and Wales,2014,Illicit drug use disorders,Male,01-04,0
England and Wales,2014,Illicit drug use disorders,Male,05-09,0
England and Wales,2014,Illicit drug use disorders,Male,10-14,0
England and Wales,2014,Illicit drug use disorders,Male,15-19,1
England and Wales,2014,Illicit drug use disorders,Male,20-24,3
England and Wales,2014,Illicit drug use disorders,Male,25-29,4
England and Wales,2014,Illicit drug use disorders,Male,30-34,15
England and Wales,2014,Illicit drug use disorders,Male,35-39,13
England and Wales,2014,Illicit drug use disorders,Male,40-44,19
England and Wales,2014,Illicit drug use disorders,Male,45-49,17
England and Wales,2014,Illicit drug use disorders,Male,50-54,8
England and Wales,2014,Illicit drug use disorders,Male,55-59,2
England and Wales,2014,Illicit drug use disorders,Male,60-64,3
England and Wales,2014,Illicit drug use disorders,Male,65-69,0
England and Wales,2014,Illicit drug use disorders,Male,70-74,0
England and Wales,2014,Infuenza including swine flu,Male,<1   ,0
England and Wales,2014,Infuenza including swine flu,Male,01-04,5
England and Wales,2014,Infuenza including swine flu,Male,05-09,2
England and Wales,2014,Infuenza including swine flu,Male,10-14,0
England and Wales,2014,Infuenza including swine flu,Male,15-19,0
England and Wales,2014,Infuenza including swine flu,Male,20-24,0
England and Wales,2014,Infuenza including swine flu,Male,25-29,0
England and Wales,2014,Infuenza including swine flu,Male,30-34,2
England and Wales,2014,Infuenza including swine flu,Male,35-39,1
England and Wales,2014,Infuenza including swine flu,Male,40-44,0
England and Wales,2014,Infuenza including swine flu,Male,45-49,5
England and Wales,2014,Infuenza including swine flu,Male,50-54,4
England and Wales,2014,Infuenza including swine flu,Male,55-59,6
England and Wales,2014,Infuenza including swine flu,Male,60-64,6
England and Wales,2014,Infuenza including swine flu,Male,65-69,4
England and Wales,2014,Infuenza including swine flu,Male,70-74,10
England and Wales,2014,Intestinal infectious diseases,Male,<1   ,2
England and Wales,2014,Intestinal infectious diseases,Male,01-04,1
England and Wales,2014,Intestinal infectious diseases,Male,05-09,0
England and Wales,2014,Intestinal infectious diseases,Male,10-14,1
England and Wales,2014,Ischemic heart disease,Male,<1   ,1
England and Wales,2014,Ischemic heart disease,Male,01-04,1
England and Wales,2014,Ischemic heart disease,Male,05-09,0
England and Wales,2014,Ischemic heart disease,Male,10-14,0
England and Wales,2014,Ischemic heart disease,Male,15-19,0
England and Wales,2014,Ischemic heart disease,Male,20-24,5
England and Wales,2014,Ischemic heart disease,Male,25-29,19
England and Wales,2014,Ischemic heart disease,Male,30-34,58
England and Wales,2014,Ischemic heart disease,Male,35-39,104
England and Wales,2014,Ischemic heart disease,Male,40-44,345
England and Wales,2014,Ischemic heart disease,Male,45-49,735
England and Wales,2014,Ischemic heart disease,Male,50-54,"1,210"
England and Wales,2014,Ischemic heart disease,Male,55-59,"1,728"
England and Wales,2014,Ischemic heart disease,Male,60-64,"2,545"
England and Wales,2014,Ischemic heart disease,Male,65-69,"3,681"
England and Wales,2014,Ischemic heart disease,Male,70-74,"4,150"
England and Wales,2014,Leukaemia,Male,<1   ,2
England and Wales,2014,Leukaemia,Male,01-04,7
England and Wales,2014,Leukaemia,Male,05-09,6
England and Wales,2014,Leukaemia,Male,10-14,4
England and Wales,2014,Leukaemia,Male,15-19,15
England and Wales,2014,Leukaemia,Male,20-24,9
England and Wales,2014,Leukaemia,Male,25-29,9
England and Wales,2014,Leukaemia,Male,30-34,11
England and Wales,2014,Leukaemia,Male,35-39,17
England and Wales,2014,Leukaemia,Male,40-44,32
England and Wales,2014,Malignant melanoma of skin,Male,<1   ,0
England and Wales,2014,Malignant melanoma of skin,Male,01-04,0
England and Wales,2014,Malignant melanoma of skin,Male,05-09,0
England and Wales,2014,Malignant melanoma of skin,Male,10-14,0
England and Wales,2014,Malignant melanoma of skin,Male,15-19,0
England and Wales,2014,Malignant melanoma of skin,Male,20-24,2
England and Wales,2014,Malignant melanoma of skin,Male,25-29,11
England and Wales,2014,Malignant melanoma of skin,Male,30-34,15
England and Wales,2014,Malignant melanoma of skin,Male,35-39,19
England and Wales,2014,Malignant melanoma of skin,Male,40-44,29
England and Wales,2014,Malignant melanoma of skin,Male,45-49,62
England and Wales,2014,Malignant melanoma of skin,Male,50-54,78
England and Wales,2014,Malignant melanoma of skin,Male,55-59,94
England and Wales,2014,Malignant melanoma of skin,Male,60-64,122
England and Wales,2014,Malignant melanoma of skin,Male,65-69,169
England and Wales,2014,Malignant melanoma of skin,Male,70-74,169
England and Wales,2014,Malignant neoplasm of bladder,Male,<1   ,0
England and Wales,2014,Malignant neoplasm of bladder,Male,01-04,0
England and Wales,2014,Malignant neoplasm of bladder,Male,05-09,0
England and Wales,2014,Malignant neoplasm of bladder,Male,10-14,0
England and Wales,2014,Malignant neoplasm of bladder,Male,15-19,0
England and Wales,2014,Malignant neoplasm of bladder,Male,20-24,1
England and Wales,2014,Malignant neoplasm of bladder,Male,25-29,0
England and Wales,2014,Malignant neoplasm of bladder,Male,30-34,3
England and Wales,2014,Malignant neoplasm of bladder,Male,35-39,4
England and Wales,2014,Malignant neoplasm of bladder,Male,40-44,7
England and Wales,2014,Malignant neoplasm of bladder,Male,45-49,20
England and Wales,2014,Malignant neoplasm of bladder,Male,50-54,33
England and Wales,2014,Malignant neoplasm of bladder,Male,55-59,79
England and Wales,2014,Malignant neoplasm of bladder,Male,60-64,136
England and Wales,2014,Malignant neoplasm of bladder,Male,65-69,292
England and Wales,2014,Malignant neoplasm of bladder,Male,70-74,433
England and Wales,2014,Malignant neoplasm of breast,Male,<1   ,0
England and Wales,2014,Malignant neoplasm of breast,Male,01-04,0
England and Wales,2014,Malignant neoplasm of breast,Male,05-09,0
England and Wales,2014,Malignant neoplasm of breast,Male,10-14,0
England and Wales,2014,Malignant neoplasm of breast,Male,15-19,0
England and Wales,2014,Malignant neoplasm of breast,Male,20-24,0
England and Wales,2014,Malignant neoplasm of breast,Male,25-29,0
England and Wales,2014,Malignant neoplasm of breast,Male,30-34,0
England and Wales,2014,Malignant neoplasm of breast,Male,35-39,1
England and Wales,2014,Malignant neoplasm of breast,Male,40-44,0
England and Wales,2014,Malignant neoplasm of breast,Male,45-49,0
England and Wales,2014,Malignant neoplasm of breast,Male,50-54,4
England and Wales,2014,Malignant neoplasm of breast,Male,55-59,3
England and Wales,2014,Malignant neoplasm of breast,Male,60-64,3
England and Wales,2014,Malignant neoplasm of breast,Male,65-69,7
England and Wales,2014,Malignant neoplasm of breast,Male,70-74,9
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,<1   ,0
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,01-04,0
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,05-09,0
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,10-14,0
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,15-19,2
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,20-24,4
England and Wales,2014,Malignant neoplasm of colon and rectum,Male,25-29,11
